RoutemapSizeTest, 3, 100
0,0.0036661624908447266,DENY_DENY_PERMIT
1,0.002941131591796875,PERMIT_PERMIT_PERMIT
2,0.35338687896728516,DENY_DENY_PERMIT
3,0.0021669864654541016,PERMIT_PERMIT_PERMIT
4,0.0018129348754882812,DENY_DENY_PERMIT
5,0.0016601085662841797,PERMIT_DENY_PERMIT
6,0.0014600753784179688,PERMIT_DENY_DENY
7,0.0015480518341064453,PERMIT_PERMIT_PERMIT
8,0.0017590522766113281,DENY_DENY_PERMIT
9,0.0038068294525146484,PERMIT_DENY_PERMIT
10,0.0024988651275634766,PERMIT_PERMIT_PERMIT
11,0.001695871353149414,PERMIT_PERMIT_PERMIT
12,0.0018019676208496094,PERMIT_PERMIT_DENY
13,0.0015020370483398438,PERMIT_DENY_PERMIT
14,0.0014798641204833984,DENY_PERMIT_PERMIT
15,0.11717104911804199,DENY_PERMIT_PERMIT
16,0.001528024673461914,PERMIT_PERMIT_PERMIT
17,0.0016901493072509766,DENY_DENY_PERMIT
18,0.001374959945678711,DENY_PERMIT_DENY
19,0.35367703437805176,DENY_DENY_PERMIT
20,0.0014240741729736328,DENY_PERMIT_PERMIT
21,0.0019369125366210938,PERMIT_DENY_DENY
22,0.01148080825805664,DENY_DENY_DENY
23,0.0014650821685791016,DENY_PERMIT_DENY
24,0.007690906524658203,PERMIT_PERMIT_PERMIT
25,0.004636049270629883,DENY_PERMIT_PERMIT
26,0.0024819374084472656,PERMIT_DENY_PERMIT
27,0.008327960968017578,PERMIT_PERMIT_PERMIT
28,0.002791881561279297,PERMIT_PERMIT_DENY
29,0.004226207733154297,PERMIT_DENY_DENY
30,0.0022590160369873047,PERMIT_DENY_DENY
31,0.007818937301635742,PERMIT_DENY_PERMIT
32,0.0044171810150146484,DENY_PERMIT_DENY
33,0.2963550090789795,PERMIT_DENY_DENY
34,0.0022001266479492188,PERMIT_DENY_DENY
35,0.36867499351501465,DENY_PERMIT_DENY
36,0.0015430450439453125,PERMIT_DENY_PERMIT
37,0.001466989517211914,PERMIT_PERMIT_DENY
38,0.18902301788330078,PERMIT_PERMIT_DENY
39,0.0014028549194335938,DENY_PERMIT_PERMIT
40,0.003743886947631836,PERMIT_PERMIT_DENY
41,0.007129192352294922,DENY_PERMIT_PERMIT
42,0.002229928970336914,PERMIT_DENY_PERMIT
43,0.00966501235961914,PERMIT_PERMIT_DENY
44,0.0039560794830322266,DENY_PERMIT_PERMIT
45,0.0067310333251953125,DENY_DENY_PERMIT
46,0.003930807113647461,PERMIT_PERMIT_PERMIT
47,0.01206517219543457,DENY_DENY_DENY
48,0.0014028549194335938,DENY_DENY_DENY
49,0.1329200267791748,PERMIT_DENY_PERMIT
50,0.008609771728515625,PERMIT_PERMIT_DENY
51,0.0016939640045166016,PERMIT_PERMIT_PERMIT
52,0.0015668869018554688,PERMIT_DENY_PERMIT
53,0.0017027854919433594,PERMIT_DENY_DENY
54,0.001543283462524414,PERMIT_DENY_PERMIT
55,0.005752086639404297,DENY_DENY_DENY
56,0.2202157974243164,DENY_PERMIT_DENY
57,0.0015430450439453125,PERMIT_PERMIT_DENY
58,0.0014688968658447266,PERMIT_DENY_DENY
59,0.001461029052734375,PERMIT_DENY_DENY
60,0.1919999122619629,PERMIT_DENY_PERMIT
61,0.003902912139892578,PERMIT_PERMIT_PERMIT
62,0.0015239715576171875,PERMIT_PERMIT_DENY
63,0.0013878345489501953,DENY_DENY_PERMIT
64,0.0014002323150634766,DENY_DENY_PERMIT
65,0.003763914108276367,PERMIT_DENY_PERMIT
66,0.001355886459350586,DENY_PERMIT_PERMIT
67,0.0015308856964111328,PERMIT_DENY_DENY
68,0.0013539791107177734,DENY_PERMIT_DENY
69,0.001489877700805664,PERMIT_PERMIT_DENY
70,0.001474142074584961,DENY_PERMIT_PERMIT
71,0.0014960765838623047,PERMIT_DENY_PERMIT
72,0.38703489303588867,DENY_DENY_PERMIT
73,0.00138092041015625,DENY_PERMIT_PERMIT
74,0.0018630027770996094,DENY_PERMIT_DENY
75,0.003754854202270508,PERMIT_DENY_PERMIT
76,0.3739759922027588,DENY_DENY_PERMIT
77,0.0015113353729248047,DENY_PERMIT_DENY
78,0.001461029052734375,PERMIT_PERMIT_PERMIT
79,0.20163512229919434,DENY_DENY_DENY
80,0.009640932083129883,DENY_DENY_PERMIT
81,0.006181001663208008,PERMIT_DENY_PERMIT
82,0.14218592643737793,PERMIT_DENY_DENY
83,0.0015711784362792969,PERMIT_DENY_PERMIT
84,0.2166590690612793,DENY_PERMIT_DENY
85,0.15406203269958496,PERMIT_DENY_DENY
86,0.21396517753601074,DENY_DENY_PERMIT
87,0.00151824951171875,DENY_PERMIT_DENY
88,0.0013859272003173828,DENY_PERMIT_DENY
89,0.001544952392578125,PERMIT_DENY_PERMIT
90,0.0063860416412353516,DENY_PERMIT_PERMIT
91,0.23491787910461426,PERMIT_DENY_DENY
92,0.0016179084777832031,PERMIT_DENY_PERMIT
93,0.0014619827270507812,DENY_PERMIT_PERMIT
94,0.005121946334838867,DENY_DENY_PERMIT
95,0.004054069519042969,PERMIT_DENY_PERMIT
96,0.001499176025390625,DENY_PERMIT_PERMIT
97,0.00413966178894043,DENY_PERMIT_DENY
98,0.0014879703521728516,PERMIT_PERMIT_DENY
99,0.0073299407958984375,DENY_PERMIT_PERMIT
