RoutemapSizeTest, 1, 100
0,0.00448298454284668,DENY
1,0.002084016799926758,DENY
2,0.002856016159057617,DENY
3,0.22037005424499512,DENY
4,0.3426213264465332,DENY
5,0.0020301342010498047,PERMIT
6,0.24224472045898438,PERMIT
7,0.0013859272003173828,DENY
8,0.0014750957489013672,PERMIT
9,0.0028998851776123047,PERMIT
10,0.18714427947998047,PERMIT
11,0.0015842914581298828,DENY
12,0.14940190315246582,PERMIT
13,0.0013909339904785156,PERMIT
14,0.0013871192932128906,PERMIT
15,0.0015940666198730469,PERMIT
16,0.0013689994812011719,PERMIT
17,0.0016760826110839844,PERMIT
18,0.0014789104461669922,PERMIT
19,0.0015401840209960938,PERMIT
20,0.0014450550079345703,PERMIT
21,0.0012810230255126953,DENY
22,0.001482248306274414,PERMIT
23,0.12385034561157227,PERMIT
24,0.0014882087707519531,PERMIT
25,0.003000974655151367,PERMIT
26,0.0028541088104248047,PERMIT
27,0.0026941299438476562,DENY
28,0.004815101623535156,PERMIT
29,0.0013251304626464844,DENY
30,0.0013229846954345703,DENY
31,0.0029871463775634766,DENY
32,0.0014300346374511719,PERMIT
33,0.0012891292572021484,DENY
34,0.002763032913208008,PERMIT
35,0.0018239021301269531,PERMIT
36,0.0029659271240234375,DENY
37,0.002270936965942383,PERMIT
38,0.0022640228271484375,DENY
39,0.0013110637664794922,DENY
40,0.0012710094451904297,DENY
41,0.0033969879150390625,DENY
42,0.002335071563720703,PERMIT
43,0.002353191375732422,DENY
44,0.002891063690185547,PERMIT
45,0.0015299320220947266,DENY
46,0.001344919204711914,DENY
47,0.0012679100036621094,DENY
48,0.0036547183990478516,DENY
49,0.002824068069458008,PERMIT
50,0.0017108917236328125,DENY
51,0.002637147903442383,DENY
52,0.21306490898132324,DENY
53,0.003997802734375,DENY
54,0.0012981891632080078,DENY
55,0.001463174819946289,PERMIT
56,0.0013880729675292969,DENY
57,0.001435995101928711,PERMIT
58,0.001422882080078125,DENY
59,0.0014469623565673828,PERMIT
60,0.0014142990112304688,PERMIT
61,0.0013060569763183594,DENY
62,0.0052149295806884766,PERMIT
63,0.0029642581939697266,DENY
64,0.19084405899047852,PERMIT
65,0.0018749237060546875,PERMIT
66,0.0013568401336669922,DENY
67,0.002752065658569336,PERMIT
68,0.0014030933380126953,PERMIT
69,0.0012772083282470703,DENY
70,0.0013630390167236328,DENY
71,0.0027589797973632812,PERMIT
72,0.0014948844909667969,PERMIT
73,0.002741098403930664,PERMIT
74,0.0017368793487548828,PERMIT
75,0.005483150482177734,DENY
76,0.0012819766998291016,DENY
77,0.0015869140625,PERMIT
78,0.0032219886779785156,PERMIT
79,0.002148151397705078,DENY
80,0.002833127975463867,PERMIT
81,0.001483917236328125,DENY
82,0.006203889846801758,PERMIT
83,0.09912991523742676,PERMIT
84,0.0029489994049072266,PERMIT
85,0.0014662742614746094,PERMIT
86,0.0013010501861572266,DENY
87,0.001374959945678711,PERMIT
88,0.0015499591827392578,PERMIT
89,0.001493692398071289,DENY
90,0.0027799606323242188,PERMIT
91,0.0013287067413330078,DENY
92,0.004530191421508789,PERMIT
93,0.0013751983642578125,PERMIT
94,0.0014002323150634766,PERMIT
95,0.001573801040649414,DENY
96,0.0013837814331054688,PERMIT
97,0.002927064895629883,DENY
98,0.0025911331176757812,PERMIT
99,0.004069805145263672,PERMIT
