ItemSizeTest, 3, 100
0,0.009858846664428711,MED,NEXT_HOP&LOCAL_PREF
1,0.21819019317626953,COMMUNITIES,AS_PATH&MED
2,0.006422758102416992,MED,NEXT_HOP&LOCAL_PREF
3,0.1966109275817871,AS_PATH,COMMUNITIES&LOCAL_PREF
4,0.15169811248779297,NEXT_HOP,AS_PATH&MED
5,0.33941197395324707,AS_PATH,MED&COMMUNITIES
6,0.0049669742584228516,NEXT_HOP,MED&LOCAL_PREF
7,0.005784749984741211,NEXT_HOP,MED&LOCAL_PREF
8,0.006294965744018555,IP_PREFIX,MED&MED
9,0.1966850757598877,AS_PATH,COMMUNITIES&AS_PATH
10,0.23407578468322754,AS_PATH,COMMUNITIES&COMMUNITIES
11,0.2405381202697754,AS_PATH,IP_PREFIX&LOCAL_PREF
12,0.006429195404052734,NEXT_HOP,MED&AS_PATH
13,0.006072998046875,IP_PREFIX,MED&COMMUNITIES
14,0.004656314849853516,MED,NEXT_HOP&MED
15,0.23033380508422852,NEXT_HOP,AS_PATH&AS_PATH
16,0.20948100090026855,AS_PATH,COMMUNITIES&COMMUNITIES
17,0.00634312629699707,NEXT_HOP,MED&LOCAL_PREF
18,0.22573280334472656,COMMUNITIES,AS_PATH&MED
19,0.007365226745605469,NEXT_HOP,IP_PREFIX&NEXT_HOP
20,0.00580906867980957,COMMUNITIES,IP_PREFIX&LOCAL_PREF
21,0.005444049835205078,NEXT_HOP,COMMUNITIES&COMMUNITIES
22,0.2058570384979248,MED,AS_PATH&COMMUNITIES
23,0.00529789924621582,NEXT_HOP,COMMUNITIES&NEXT_HOP
24,0.0060939788818359375,NEXT_HOP,IP_PREFIX&LOCAL_PREF
25,0.20403409004211426,COMMUNITIES,AS_PATH&AS_PATH
26,0.14216303825378418,AS_PATH,COMMUNITIES&NEXT_HOP
27,0.3310079574584961,MED,AS_PATH&LOCAL_PREF
28,0.006981849670410156,NEXT_HOP,MED&COMMUNITIES
29,0.004769802093505859,COMMUNITIES,NEXT_HOP&NEXT_HOP
30,0.0046539306640625,COMMUNITIES,MED&LOCAL_PREF
31,0.005346059799194336,COMMUNITIES,MED&COMMUNITIES
32,0.3682067394256592,NEXT_HOP,AS_PATH&MED
