ItemSizeTest, 2, 100
0,0.005905866622924805,IP_PREFIX&LOCAL_PREF
1,0.003673076629638672,MED&MED
2,0.004999876022338867,IP_PREFIX&LOCAL_PREF
3,0.00458979606628418,COMMUNITIES&LOCAL_PREF
4,0.0034301280975341797,COMMUNITIES&AS_PATH
5,0.004151821136474609,NEXT_HOP&AS_PATH
6,0.0036699771881103516,MED&AS_PATH
7,0.004199981689453125,NEXT_HOP&MED
8,0.003274202346801758,MED&NEXT_HOP
9,0.0031120777130126953,MED&COMMUNITIES
10,0.005083799362182617,IP_PREFIX&AS_PATH
11,0.003993034362792969,NEXT_HOP&COMMUNITIES
12,0.0026710033416748047,MED&COMMUNITIES
13,0.003926992416381836,NEXT_HOP&LOCAL_PREF
14,0.005106925964355469,COMMUNITIES&AS_PATH
15,0.006428956985473633,IP_PREFIX&LOCAL_PREF
16,0.006468057632446289,IP_PREFIX&NEXT_HOP
17,0.003178119659423828,NEXT_HOP&LOCAL_PREF
18,0.3701181411743164,AS_PATH&LOCAL_PREF
19,0.004293918609619141,NEXT_HOP&LOCAL_PREF
20,0.004022121429443359,IP_PREFIX&MED
21,0.004139900207519531,NEXT_HOP&LOCAL_PREF
22,0.0040700435638427734,IP_PREFIX&LOCAL_PREF
23,0.003988981246948242,NEXT_HOP&MED
24,0.0042188167572021484,IP_PREFIX&LOCAL_PREF
25,0.00498199462890625,NEXT_HOP&NEXT_HOP
26,0.005177974700927734,NEXT_HOP&AS_PATH
27,0.004583835601806641,NEXT_HOP&AS_PATH
28,0.003865957260131836,COMMUNITIES&COMMUNITIES
29,0.13997912406921387,AS_PATH&COMMUNITIES
30,0.0043849945068359375,NEXT_HOP&AS_PATH
31,0.005602836608886719,IP_PREFIX&LOCAL_PREF
32,0.003099203109741211,MED&NEXT_HOP
33,0.0029668807983398438,COMMUNITIES&COMMUNITIES
34,0.0027518272399902344,MED&NEXT_HOP
35,0.005099058151245117,NEXT_HOP&LOCAL_PREF
36,0.24291086196899414,AS_PATH&LOCAL_PREF
37,0.004818916320800781,IP_PREFIX&MED
38,0.0032258033752441406,COMMUNITIES&NEXT_HOP
39,0.004322052001953125,NEXT_HOP&LOCAL_PREF
40,0.003772735595703125,NEXT_HOP&MED
41,0.0035109519958496094,NEXT_HOP&NEXT_HOP
42,0.003506898880004883,IP_PREFIX&LOCAL_PREF
43,0.0031669139862060547,COMMUNITIES&COMMUNITIES
44,0.004488945007324219,MED&COMMUNITIES
45,0.40020108222961426,AS_PATH&MED
46,0.22484707832336426,AS_PATH&LOCAL_PREF
47,0.0039021968841552734,IP_PREFIX&AS_PATH
48,0.0035009384155273438,IP_PREFIX&MED
49,0.004290103912353516,NEXT_HOP&NEXT_HOP
50,0.003549814224243164,IP_PREFIX&MED
51,0.004415273666381836,IP_PREFIX&NEXT_HOP
52,0.0028879642486572266,MED&MED
53,0.002847909927368164,COMMUNITIES&COMMUNITIES
54,0.15687179565429688,AS_PATH&MED
55,0.0027828216552734375,COMMUNITIES&MED
56,0.002727985382080078,MED&AS_PATH
57,0.004415988922119141,IP_PREFIX&MED
58,0.005326986312866211,NEXT_HOP&AS_PATH
59,0.003548145294189453,NEXT_HOP&MED
60,0.0040018558502197266,NEXT_HOP&NEXT_HOP
61,0.3388550281524658,AS_PATH&MED
62,0.0033521652221679688,NEXT_HOP&AS_PATH
63,0.0028040409088134766,COMMUNITIES&LOCAL_PREF
64,0.003832101821899414,IP_PREFIX&NEXT_HOP
65,0.0029261112213134766,COMMUNITIES&NEXT_HOP
66,0.0027778148651123047,MED&MED
67,0.0033228397369384766,NEXT_HOP&NEXT_HOP
68,0.003156900405883789,COMMUNITIES&NEXT_HOP
69,0.0033359527587890625,MED&LOCAL_PREF
70,0.00464177131652832,IP_PREFIX&LOCAL_PREF
71,0.00561213493347168,NEXT_HOP&COMMUNITIES
72,0.0057752132415771484,IP_PREFIX&NEXT_HOP
73,0.004130840301513672,IP_PREFIX&NEXT_HOP
74,0.002836942672729492,MED&AS_PATH
75,0.0041599273681640625,COMMUNITIES&NEXT_HOP
76,0.002768993377685547,MED&MED
77,0.2407827377319336,AS_PATH&LOCAL_PREF
78,0.002955913543701172,COMMUNITIES&AS_PATH
79,0.003283977508544922,NEXT_HOP&COMMUNITIES
80,0.0027692317962646484,MED&COMMUNITIES
81,0.23378896713256836,AS_PATH&AS_PATH
82,0.2215261459350586,AS_PATH&LOCAL_PREF
83,0.003734111785888672,NEXT_HOP&LOCAL_PREF
84,0.0033278465270996094,NEXT_HOP&LOCAL_PREF
85,0.0031020641326904297,MED&NEXT_HOP
86,0.372222900390625,AS_PATH&LOCAL_PREF
87,0.16098403930664062,AS_PATH&MED
88,0.22631502151489258,AS_PATH&MED
89,0.0031931400299072266,MED&AS_PATH
90,0.0030291080474853516,COMMUNITIES&MED
91,0.004015207290649414,IP_PREFIX&MED
92,0.0030159950256347656,COMMUNITIES&COMMUNITIES
93,0.22489595413208008,AS_PATH&COMMUNITIES
94,0.0047969818115234375,IP_PREFIX&COMMUNITIES
95,0.0035049915313720703,NEXT_HOP&NEXT_HOP
96,0.0029959678649902344,MED&COMMUNITIES
97,0.004354000091552734,IP_PREFIX&MED
98,0.38382506370544434,AS_PATH&COMMUNITIES
99,0.003081083297729492,MED&NEXT_HOP
